NB,000000,000000,000000,000000,00-00-01.308
GB,000395,000403,000443,000432,00-00-01.402
NB,000000,000000,000000,000000,00-00-06.308
GB,000393,000405,000441,000433,00-00-06.401
NB,000000,000000,000000,000000,00-00-11.323
GB,000395,000410,000442,000439,00-00-11.401
NB,000000,000000,000000,000000,00-00-16.323
GB,000396,000414,000435,000433,00-00-16.417
NB,000000,000000,000000,000000,00-00-21.323
GB,000401,000414,000435,000434,00-00-21.417
NB,000000,000000,000000,000000,00-00-26.338
GB,000401,000414,000432,000427,00-00-26.417
NB,000000,000000,000000,000000,00-00-31.338
GB,000399,000416,000434,000420,00-00-31.416
NB,000000,000000,000000,000000,00-00-36.338
GB,000395,000417,000437,000425,00-00-36.432
NB,000000,000000,000000,000000,00-00-41.354
GB,000393,000410,000433,000430,00-00-41.432
NB,000000,000000,000000,000000,00-00-46.354
GB,000397,000416,000436,000432,00-00-46.432
NB,000000,000000,000000,000000,00-00-51.353
GB,000396,000413,000435,000432,00-00-51.447
NB,000000,000000,000000,000000,00-00-56.369
GB,000396,000412,000435,000430,00-00-56.447
NB,000000,000000,000000,000000,00-01-01.369
GB,000400,000413,000435,000428,00-01-01.447
NB,000000,000000,000000,000000,00-01-06.369
GB,000392,000409,000434,000427,00-01-06.462
NB,000000,000000,000000,000000,00-01-11.369
GB,000393,000409,000434,000430,00-01-11.462
NB,000000,000000,000000,000000,00-01-16.384
GB,000396,000412,000435,000430,00-01-16.462
NB,000000,000000,000000,000000,00-01-21.384
GB,000393,000413,000435,000430,00-01-21.478
NB,000000,000000,000000,000000,00-01-26.384
GB,000397,000412,000434,000430,00-01-26.478
NB,000000,000000,000000,000000,00-01-31.399
GB,000396,000406,000432,000427,00-01-31.477
NB,000000,000000,000000,000000,00-01-36.399
GB,000399,000403,000432,000429,00-01-36.493
NB,000000,000000,000000,000000,00-01-41.399
GB,000401,000401,000435,000428,00-01-41.493
NB,000000,000000,000000,000000,00-01-46.415
GB,000405,000396,000439,000430,00-01-46.493
NB,000000,000000,000000,000000,00-01-51.414
GB,000406,000400,000443,000432,00-01-51.508
NB,000000,000000,000000,000000,00-01-56.414
GB,000400,000401,000440,000432,00-01-56.508
NB,000000,000000,000000,000000,00-02-01.430
GB,000397,000405,000440,000440,00-02-01.508
NB,000000,000000,000000,000000,00-02-06.430
GB,000395,000409,000440,000439,00-02-06.508
NB,000000,000000,000000,000000,00-02-11.430
GB,000395,000409,000437,000439,00-02-11.523
SP,0.1307,05.217,008.40,000000,00-02-12.430
NS,000002,000001,000000,000000,00-02-12.461
GS,000085,000081,000061,000091,00-02-12.461
GS,000069,000069,000085,000083,00-02-12.461
GS,000089,000077,000081,000085,00-02-12.461
GS,000057,000085,000097,000078,00-02-12.461
GS,000082,000086,000084,000075,00-02-12.461
GS,000068,000060,000072,000061,00-02-12.461
GS,000056,000063,000070,000072,00-02-12.633
SP,0.0459,14.854,023.91,000000,00-02-12.773
GS,000040,000066,000067,000067,00-02-12.836
GS,000045,000067,000049,000070,00-02-13.070
GS,000056,000064,000069,000056,00-02-13.226
NS,000000,000000,000000,000000,00-02-13.445
GS,000070,000060,000047,000066,00-02-13.445
GS,000058,000055,000061,000060,00-02-13.633
GS,000048,000056,000055,000074,00-02-13.836
GS,000049,000059,000055,000066,00-02-14.070
GS,000050,000060,000052,000043,00-02-14.226
NS,000001,000001,000001,000001,00-02-14.429
GS,000041,000052,000050,000070,00-02-14.445
SP,0.1808,03.771,006.07,000000,00-02-14.523
GS,000053,000050,000049,000061,00-02-14.648
GS,000039,000045,000059,000057,00-02-14.851
GS,000053,000045,000047,000051,00-02-15.070
GS,000034,000041,000057,000045,00-02-15.226
NS,000000,000002,000000,000000,00-02-15.429
GS,000052,000028,000053,000049,00-02-15.445
GS,000046,000040,000047,000038,00-02-15.648
GS,000045,000056,000058,000045,00-02-15.883
GS,000056,000034,000047,000048,00-02-16.101
GS,000045,000039,000061,000049,00-02-16.258
NS,000001,000000,000001,000002,00-02-16.445
GS,000039,000036,000050,000045,00-02-16.445
GS,000052,000044,000058,000040,00-02-16.633
GS,000054,000038,000062,000059,00-02-16.836
GS,000041,000044,000042,000047,00-02-17.086
GS,000047,000056,000045,000043,00-02-17.242
NS,000000,000000,000000,000001,00-02-17.429
GS,000049,000036,000062,000042,00-02-17.445
GS,000040,000042,000056,000046,00-02-17.632
GS,000048,000050,000060,000057,00-02-17.836
GS,000070,000035,000057,000040,00-02-18.086
GS,000034,000033,000057,000035,00-02-18.242
NS,000001,000000,000001,000001,00-02-18.429
GS,000046,000046,000058,000043,00-02-18.445
GS,000047,000045,000062,000053,00-02-18.632
GS,000066,000038,000074,000047,00-02-18.836
GS,000045,000040,000056,000039,00-02-19.070
GS,000050,000046,000067,000045,00-02-19.242
NS,000002,000001,000000,000000,00-02-19.429
GS,000053,000041,000058,000044,00-02-19.461
GS,000046,000039,000060,000038,00-02-19.632
GS,000052,000043,000043,000043,00-02-19.836
GS,000052,000035,000051,000049,00-02-20.117
GS,000051,000030,000054,000047,00-02-20.273
NS,000000,000000,000001,000000,00-02-20.461
GS,000043,000044,000057,000039,00-02-20.461
GS,000046,000031,000054,000046,00-02-20.679
GS,000048,000033,000057,000048,00-02-20.851
GS,000041,000039,000047,000041,00-02-21.070
GS,000045,000030,000043,000048,00-02-21.242
NS,000000,000000,000000,000001,00-02-21.445
GS,000036,000048,000042,000049,00-02-21.461
GS,000042,000035,000042,000040,00-02-21.648
GS,000038,000049,000060,000048,00-02-21.851
GS,000042,000045,000055,000038,00-02-22.070
GS,000027,000036,000042,000037,00-02-22.242
NS,000000,000000,000000,000000,00-02-22.445
GS,000034,000040,000052,000040,00-02-22.461
GS,000037,000050,000039,000033,00-02-22.648
GS,000031,000035,000062,000053,00-02-22.851
GS,000054,000043,000051,000043,00-02-23.070
GS,000052,000050,000065,000056,00-02-23.242
NS,000001,000000,000001,000000,00-02-23.445
GS,000040,000055,000059,000050,00-02-23.460
GS,000079,000047,000072,000060,00-02-23.648
GS,000069,000080,000068,000066,00-02-23.835
GS,000064,000078,000065,000078,00-02-24.070
GS,000066,000077,000080,000071,00-02-24.257
NS,000003,000001,000002,000001,00-02-24.445
GS,000070,000070,000077,000082,00-02-24.460
GS,000070,000068,000079,000102,00-02-24.648
GS,000080,000091,000086,000081,00-02-24.851
GS,000073,000075,000075,000088,00-02-25.085
GS,000081,000072,000073,000097,00-02-25.242
NS,000000,000000,000002,000000,00-02-25.445
GS,000083,000097,000089,000090,00-02-25.460
GS,000071,000075,000089,000086,00-02-25.648
GX,000440,002808,000000,000000,00-02-25.835
NB,000000,000000,000000,000000,00-02-30.648
GB,000396,000404,000436,000439,00-02-30.742
NB,000000,000000,000000,000000,00-02-35.663
GB,000398,000401,000436,000432,00-02-35.741
NB,000000,000000,000000,000000,00-02-40.663
GB,000396,000398,000434,000433,00-02-40.741
NB,000000,000000,000000,000000,00-02-45.663
GB,000396,000396,000432,000434,00-02-45.757
NB,000000,000000,000000,000000,00-02-50.679
GB,000399,000400,000431,000430,00-02-50.757
NB,000000,000000,000000,000000,00-02-55.678
GB,000399,000399,000423,000427,00-02-55.757
NB,000000,000000,000000,000000,00-03-00.678
GB,000396,000399,000421,000424,00-03-00.772
NB,000000,000000,000000,000000,00-03-05.678
GB,000394,000402,000420,000421,00-03-05.772
NB,000000,000000,000000,000000,00-03-10.694
GB,000390,000404,000423,000424,00-03-10.772
NB,000000,000000,000000,000000,00-03-15.694
GB,000389,000404,000432,000427,00-03-15.787
NB,000000,000000,000000,000000,00-03-20.693
GB,000392,000404,000436,000432,00-03-20.787
NB,000000,000000,000000,000000,00-03-25.709
GB,000392,000401,000439,000434,00-03-25.787
NB,000000,000000,000000,000000,00-03-30.709
GB,000393,000394,000438,000436,00-03-30.803
NB,000000,000000,000000,000000,00-03-35.709
GB,000395,000398,000436,000439,00-03-35.802
