NB,000000,000000,000000,000000,00-00-04.643
GB,000382,000368,000430,000426,00-00-04.721
NB,000000,000000,000000,000000,00-00-09.643
GB,000385,000368,000427,000423,00-00-09.737
NB,000000,000000,000000,000000,00-00-14.643
GB,000386,000373,000429,000421,00-00-14.737
NB,000000,000000,000000,000000,00-00-19.658
GB,000385,000373,000433,000423,00-00-19.737
NB,000000,000000,000000,000000,00-00-24.658
GB,000385,000377,000437,000423,00-00-24.736
NB,000000,000000,000000,000000,00-00-29.658
GB,000384,000379,000437,000427,00-00-29.752
NB,000000,000000,000000,000000,00-00-34.674
GB,000385,000382,000433,000426,00-00-34.752
NB,000000,000000,000000,000000,00-00-39.674
GB,000390,000379,000428,000423,00-00-39.752
NB,000000,000000,000000,000000,00-00-44.674
GB,000388,000378,000423,000424,00-00-44.767
NB,000000,000000,000000,000000,00-00-49.689
GB,000385,000374,000427,000427,00-00-49.767
NB,000000,000000,000000,000000,00-00-54.689
GB,000384,000373,000429,000430,00-00-54.767
NB,000000,000000,000000,000000,00-00-59.689
GB,000376,000376,000432,000433,00-00-59.783
NB,000000,000000,000000,000000,00-01-04.705
GB,000373,000378,000431,000433,00-01-04.783
NB,000000,000000,000000,000000,00-01-09.705
GB,000375,000379,000431,000432,00-01-09.783
NB,000000,000000,000000,000000,00-01-14.705
GB,000375,000378,000435,000427,00-01-14.798
NB,000000,000000,000000,000000,00-01-19.705
GB,000375,000378,000433,000423,00-01-19.798
NB,000000,000000,000000,000000,00-01-24.720
GB,000374,000377,000432,000423,00-01-24.798
SP,0.1576,04.326,006.96,000000,00-01-24.908
NS,000000,000002,000000,000002,00-01-24.970
GS,000077,000073,000082,000089,00-01-24.970
GS,000080,000066,000096,000104,00-01-24.970
GS,000062,000065,000077,000086,00-01-24.970
GS,000074,000061,000088,000064,00-01-24.970
GS,000070,000059,000089,000075,00-01-24.970
GS,000058,000067,000070,000069,00-01-24.970
GS,000055,000072,000075,000072,00-01-25.111
GS,000042,000068,000065,000073,00-01-25.314
GS,000044,000043,000057,000076,00-01-25.517
GS,000045,000045,000049,000067,00-01-25.767
NS,000001,000000,000000,000001,00-01-25.954
GS,000049,000051,000049,000068,00-01-25.970
GS,000039,000056,000056,000063,00-01-26.111
GS,000056,000056,000056,000062,00-01-26.314
GS,000053,000046,000062,000061,00-01-26.517
GS,000047,000036,000058,000059,00-01-26.767
NS,000000,000000,000000,000001,00-01-26.923
GS,000043,000047,000058,000044,00-01-26.923
SP,0.1556,04.382,007.05,000000,00-01-27.001
GS,000038,000035,000048,000059,00-01-27.126
GS,000042,000039,000052,000053,00-01-27.314
GS,000043,000043,000060,000043,00-01-27.517
GS,000036,000035,000037,000053,00-01-27.767
NS,000001,000000,000000,000001,00-01-27.954
GS,000046,000037,000043,000041,00-01-27.970
GS,000037,000028,000040,000038,00-01-28.111
GS,000051,000033,000048,000032,00-01-28.329
GS,000055,000034,000047,000042,00-01-28.517
GS,000042,000047,000059,000036,00-01-28.767
NS,000001,000000,000000,000002,00-01-28.954
GS,000059,000039,000046,000041,00-01-28.970
GS,000054,000035,000061,000036,00-01-29.126
GS,000058,000042,000064,000039,00-01-29.314
GS,000053,000038,000043,000053,00-01-29.517
GS,000066,000038,000044,000045,00-01-29.767
NS,000001,000000,000000,000001,00-01-29.954
GS,000058,000048,000051,000042,00-01-29.970
